raceid,driverid,qnumber,q
6,21,2,00:01:16.1
6,22,1,00:01:15.4
6,22,2,00:01:14.8
6,22,3,00:01:15.1
6,67,1,00:01:15.8
6,67,2,00:01:15.8
7,1,1,00:01:28.3
7,2,1,00:01:27.8
7,2,2,00:01:27.5
7,3,1,00:01:27.5
7,3,2,00:01:27.4
7,3,3,00:01:29.2
7,4,1,00:01:28
7,4,2,00:01:27.5
7,4,3,00:01:29.1
7,5,1,00:01:28.2
7,5,2,00:01:28.2
7,6,1,00:01:27.7
7,6,2,00:01:27.6
7,7,1,00:01:28.9
7,8,1,00:01:27.6
7,8,2,00:01:27.4
7,8,3,00:01:28.8
7,9,1,00:01:27.8
7,9,2,00:01:27.5
7,9,3,00:01:29.4
7,10,1,00:01:28.2
7,10,2,00:01:27.8
7,12,1,00:01:28.6
7,13,1,00:01:27.5
7,13,2,00:01:27.3
7,13,3,00:01:28.9
7,15,1,00:01:27.5
7,15,2,00:01:27.2
7,15,3,00:01:28.7
7,16,1,00:01:28.3
7,16,2,00:01:28.4
7,17,1,00:01:27.5
7,17,2,00:01:27.4
7,17,3,00:01:28.6
7,18,1,00:01:27.4
7,18,2,00:01:27.2
7,18,3,00:01:28.4
7,20,1,00:01:27.3
7,20,2,00:01:27
7,20,3,00:01:28.3
7,21,1,00:01:28.7
7,22,1,00:01:27.4
7,22,2,00:01:27.4
7,22,3,00:01:28.6
7,67,1,00:01:28.7
8,1,1,00:01:19.9
8,2,1,00:01:19.6
8,2,2,00:01:19.4
8,3,1,00:01:19.2
8,3,2,00:01:18.6
8,3,3,00:01:20.4
8,4,1,00:01:19.2
8,4,2,00:01:18.8
8,4,3,00:01:20.7
8,5,1,00:01:19.7
8,5,2,00:01:19.4
8,6,1,00:01:18.5
8,6,2,00:01:18.6
8,6,3,00:01:20.2
8,7,1,00:01:19.9
8,8,1,00:01:19
8,8,2,00:01:18.6
8,8,3,00:01:20.7
8,9,1,00:01:19.7
8,9,2,00:01:19.3
8,10,1,00:01:19.2
8,10,2,00:01:18.8
8,10,3,00:01:20.5
8,12,1,00:01:19.6
8,12,2,00:01:19.4
8,13,1,00:01:19.1
8,13,2,00:01:18.9
8,15,1,00:01:18.9
8,15,2,00:01:18.2
8,15,3,00:01:20.1
8,16,1,00:01:19.9
8,17,1,00:01:18.7
8,17,2,00:01:18.2
8,17,3,00:01:19.9
8,18,1,00:01:19
8,18,2,00:01:18.7
8,18,3,00:01:20.3
8,20,1,00:01:18.7
8,20,2,00:01:18.1
8,20,3,00:01:19.5
8,21,1,00:01:19.8
8,22,1,00:01:19.3
8,22,2,00:01:18.3
8,22,3,00:01:19.9
8,67,1,00:01:20.2
9,1,1,00:01:31.5
9,1,2,00:01:39.1
9,1,3,00:01:32.6
9,2,1,00:01:31.8
9,2,2,00:01:42.3
9,3,1,00:01:31.6
9,3,2,00:01:42.9
9,4,1,00:01:31.3
9,4,2,00:01:42.3
9,5,1,00:01:31.9
9,5,2,00:01:40.8
9,5,3,00:01:33.9
9,6,1,00:01:31.9
9,6,2,00:01:42.5
9,7,1,00:01:33.6
9,8,1,00:01:31.9
9,8,2,00:01:41.7
9,8,3,00:01:34.7
9,9,1,00:01:32.2
9,10,1,00:01:32.4
9,12,1,00:01:32.1
9,12,2,00:01:35.7
9,12,3,00:01:34.8
9,13,1,00:01:31.6
9,13,2,00:01:41.7
9,13,3,00:01:34.6
9,15,1,00:01:31.8
9,15,2,00:01:42.8
9,16,1,00:01:32
9,16,2,00:01:36.7
9,16,3,00:01:34.3
9,17,1,00:01:31.3
9,17,2,00:01:38
9,17,3,00:01:32.2
9,18,1,00:01:31.6
9,18,2,00:01:39
9,18,3,00:01:32.5
9,20,1,00:01:31.4
9,20,2,00:01:39.5
9,20,3,00:01:32.5
9,21,1,00:01:32.4
9,22,1,00:01:31.5
9,22,2,00:01:34.5
9,22,3,00:01:32.4
9,67,1,00:01:32.3
10,1,1,00:01:20.8
10,1,2,00:01:20.5
10,1,3,00:01:21.8
10,2,1,00:01:21.7
10,3,1,00:01:20.8
10,3,2,00:01:20.9
10,3,3,00:01:21.9
10,4,1,00:01:21.3
10,4,2,00:01:20.8
10,4,3,00:01:21.6
10,5,1,00:01:21.7
10,5,2,00:01:20.8
10,5,3,00:01:22.1
10,6,1,00:01:21.4
10,6,2,00:01:20.6
10,6,3,00:01:22.8
10,8,1,00:01:21.5
10,8,2,00:01:20.6
10,8,3,00:01:22.5
10,9,1,00:01:21.9
10,10,1,00:01:21.6
10,10,2,00:01:21.2
10,12,1,00:01:21.3
10,12,2,00:01:21.4
10,13,1,00:01:21.4
10,13,2,00:01:20.8
10,15,1,00:01:21.4
10,15,2,00:01:21.1
10,16,1,00:01:21.9
