raceId,constructorId,position,points,pointsTotal,wins
35,6,1,16,172,8
35,7,5,4,56,0
35,9,7,0,29,0
35,11,9,0,14,0
35,10,10,0,0,0
36,5,9,0,0,0
36,9,8,0,0,0
36,8,7,0,0,0
36,11,6,0,0,0
36,7,5,1,1,0
36,3,4,2,2,0
36,4,3,4,4,0
36,2,2,5,5,0
37,5,9,0,0,0
37,9,6,0,0,0
37,8,8,0,0,0
37,11,7,0,0,0
37,7,4,2,3,0
37,3,5,0,2,0
37,4,3,4,8,0
37,2,2,5,10,0
38,5,9,0,0,0
38,9,6,0,0,0
38,8,8,0,0,0
38,11,7,0,0,0
38,7,4,2,5,0
38,3,5,0,2,0
38,4,3,1,9,0
38,2,2,8,18,0
38,1,11,12,44,1
38,6,1,16,39,2
39,5,10,0,0,0
39,9,6,4,4,0
39,8,7,1,1,0
39,11,8,0,0,0
39,7,5,0,5,0
39,3,4,3,5,0
39,4,3,2,11,0
39,2,2,5,23,0
39,1,11,14,58,1
40,5,8,0,0,0
40,9,6,0,4,0
40,8,7,0,1,0
40,11,9,0,0,0
40,7,5,0,5,0
40,3,4,2,7,0
40,4,3,5,16,0
40,2,2,7,30,0
40,1,11,18,76,2
41,5,8,0,0,0
41,9,6,0,4,0
41,8,7,3,4,0
41,11,9,0,0,0
41,7,5,1,6,0
41,3,4,6,13,0
41,4,3,5,21,0
41,2,2,8,38,0
41,1,11,12,88,3
42,5,8,0,0,0
42,9,6,2,6,0
42,8,7,0,4,0
42,11,9,0,0,0
42,7,5,3,9,0
42,3,4,0,13,0
42,4,3,4,25,0
42,2,2,1,39,0
42,1,11,18,106,4
43,5,9,0,0,0
43,9,6,0,6,0
43,8,7,0,4,0
43,11,8,1,1,0
43,7,5,0,9,0
43,3,4,0,13,0
43,4,3,3,28,0
43,2,2,9,48,0
43,1,11,8,114,4
44,5,9,0,0,0
44,9,6,0,6,0
44,8,7,0,4,0
44,11,8,0,1,0
44,7,5,0,9,0
44,3,4,0,13,0
44,4,3,3,31,0
44,2,2,8,56,0
44,1,11,14,128,5
45,5,9,0,0,0
45,9,5,10,16,0
45,8,7,0,4,0
45,11,8,0,1,0
45,7,6,0,9,0
45,3,4,5,18,0
45,4,3,1,32,0
45,2,2,5,61,0
45,1,11,10,138,5
46,5,9,0,0,0
46,9,5,0,16,0
46,8,7,0,4,0
46,11,8,0,1,0
46,7,6,3,12,0
46,3,4,2,20,0
46,4,3,1,33,0
46,2,2,10,71,0
46,1,11,15,138,6
47,5,9,0,0,0
47,9,5,0,16,0
47,8,7,0,4,0
47,11,8,0,1,0
47,7,6,0,12,0
47,3,4,2,22,0
47,4,3,3,36,0
47,2,2,6,77,0
47,1,11,10,148,6
48,5,9,0,0,0
48,9,5,0,16,0
48,8,7,0,4,0
48,11,8,1,2,0
48,7,6,0,12,0
48,3,4,3,25,0
48,4,3,2,38,0
48,2,2,9,86,0
48,1,11,18,166,7
49,5,9,0,0,0
49,9,5,2,18,0
49,8,7,0,4,0
49,11,8,0,2,0
49,7,6,0,12,0
49,3,4,3,28,0
49,4,3,1,39,0
49,2,2,4,90,0
49,1,11,11,192,7
50,5,10,0,0,0
50,9,5,5,23,0
50,8,7,0,4,0
50,11,8,0,2,0
50,7,6,0,12,0
50,3,4,0,28,0
50,4,3,12,51,0
50,2,2,2,92,0
50,1,11,10,202,8
51,5,7,8,8,0
51,9,5,1,24,0
51,8,9,0,4,0
51,11,8,4,6,0
51,7,6,0,12,0
51,3,4,0,28,0
51,4,3,0,51,0
51,2,2,2,94,0
51,1,11,8,210,8
52,5,7,0,8,0
52,9,5,0,24,0
52,8,9,0,4,0
52,11,8,0,6,0
52,7,6,1,13,0
52,3,4,5,33,0
52,4,3,0,51,0
52,2,2,7,101,0
52,1,11,8,218,8
53,8,11,0,0,0
53,13,10,0,0,0
53,7,9,0,0,0
53,2,8,0,0,0
53,5,7,0,0,0
53,9,6,1,1,0
53,3,5,5,5,0
53,11,4,5,5,0
53,1,2,10,10,0
53,6,3,8,8,0
53,4,1,10,10,1
54,8,11,0,0,0
54,13,10,0,0,0
54,7,7,1,1,0
54,2,6,2,2,0
54,5,9,0,0,0
54,9,8,0,1,0
54,3,5,0,5,0
54,11,4,6,11,0
54,1,3,5,15,0
54,6,2,7,15,0
54,4,1,18,28,2
55,8,11,0,0,0
55,13,10,0,0,0
55,7,6,6,7,0
55,2,5,8,10,0
